"DATA_LEVEL","SCHOOL_YEAR","REPORTING_PERIOD","DISTRICT_NUMBER","DISTRICT_NAME","EMPLOYMENT_CATEGORY","GENDER","HEADCOUNT","FTE","AVERAGE_AGE","AVERAGE_ANNUAL_SALARY_PER_FTE"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","All","35","35","50","103120"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","F","15","15","50","103889"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","M","20","20","50","102543"
"District level","2013/2014","Q1","005","Southeast Kootenay","Educator","All","367","344.476","45","72482"
"District level","2013/2014","Q1","005","Southeast Kootenay","Educator","M","97","94.302","46","77907"
"District level","2013/2014","Q1","005","Southeast Kootenay","Teacher","All","332","309.476","45","69807"
"District level","2013/2014","Q1","005","Southeast Kootenay","Teacher","F","255","235.174","44","68990"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","All","28","27.2","48","101837"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","F","16","16","47","100841"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","M","12","11.2","50","103164"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","All","214","196.4305","43","71702"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","F","152","138.9108","43","70133"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","M","62","57.5197","46","75432"
"District level","2013/2014","Q1","006","Rocky Mountain","Teacher","All","186","169.2305","43","67586"
"District level","2013/2014","Q1","006","Rocky Mountain","Teacher","M","50","46.3197","45","69593"
"District level","2013/2014","Q1","008","Kootenay Lake","Administrator","F","16","16","50","96084"
"District level","2013/2014","Q1","008","Kootenay Lake","Administrator","M","20","19","50","100171"
"District level","2013/2014","Q1","008","Kootenay Lake","Educator","All","328","292.2885","46","73628"
"District level","2013/2014","Q1","008","Kootenay Lake","Educator","M","113","104.036","47","76555"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","All","295","257.2885","46","70904"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","F","201","172.2525","45","70368"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","M","94","85.036","46","72068"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Educator","All","48","43.2858","47","74019"
"District level","2013/2014","Q1","010","Arrow Lakes","Educator","F","35","31.6872","49","74697"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","All","41","36.2858","47","69225"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","F","29","25.6872","49","69456"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","M","12","10.5986","42","68654"
"District level","2013/2014","Q1","019","Revelstoke","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","019","Revelstoke","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","019","Revelstoke","Educator","F","50","45.279","40","67213"
"District level","2013/2014","Q1","019","Revelstoke","Educator","M","24","22.929","47","81031"
"District level","2013/2014","Q1","019","Revelstoke","Teacher","F","48","43.279","40","66223"
"District level","2013/2014","Q1","019","Revelstoke","Teacher","M","18","17.929","46","75167"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Educator","All","251","234.728","46","72881"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Educator","F","178","167.004","46","70583"
